crossword_form,length,lemma,pos,date,formation,definition,url
YOFF,4,yoff,verb,c1630,imitative,intransitive. To make a sound resembling the…,http://www.oed.com/dictionary/yoff_v
ALECY,5,alecy,noun,1594,derivative,Foolishness or irrationality due to drunkenness…,http://www.oed.com/dictionary/alecy_n
AMEED,5,ameed,verb,1807,derivative,transitive. To reward or recompense (a person)…,http://www.oed.com/dictionary/ameed_v
CHEHO,5,cheho,verb,1706,imitative,intransitive. To sneeze.,http://www.oed.com/dictionary/cheho_v
CHICH,5,chich,verb,c1450,variant,transitive. Of a hen: to call (her chicks). Cf…,http://www.oed.com/dictionary/chich_v
DONLY,5,donly,adjective,1893,derivative,Having the characteristics or attributes of a…,http://www.oed.com/dictionary/donly_adj
EARAL,5,earal,adjective,1658,derivative,"Concerned with the ear, or that which is heard.",http://www.oed.com/dictionary/earal_adj
ELVET,5,elvet,noun,1885,derivative,A tiny elf.,http://www.oed.com/dictionary/elvet_n
HOBLE,5,hoble,verb,1530,variant,intransitive. To use a net for catching birds; to…,http://www.oed.com/dictionary/hoble_v
IULAN,5,iulan,adjective,a1627,borrowing,Of the first growth of the beard.,http://www.oed.com/dictionary/iulan_adj
LABRA,5,labra,noun,a1616,borrowing,A lip.,http://www.oed.com/dictionary/labra_n
MEROP,5,merop,adjective,1864,borrowing,"= meropic, adj.",http://www.oed.com/dictionary/merop_adj
OWLBY,5,owlby,noun,1653,derivative,derogatory. Obsolete. Apparently: a person who resembles an owl.,http://www.oed.com/dictionary/owlby_n
OXIFY,5,oxify,verb,1804,derivative,transitive. To make an ox of; to turn into an ox.,http://www.oed.com/dictionary/oxify_v
QCDOM,5,Q.C.-dom,,1865,,The state or condition of a Q.C.,http://www.oed.com/dictionary/qc-dom_x
SAFED,5,safed,adjective,1881,derivative,Provided with a safe for securing money and…,http://www.oed.com/dictionary/safed_adj
SAGED,5,saged,adjective,1563,derivative,Befitting a sage; characterized by wisdom.,http://www.oed.com/dictionary/saged_adj
TRIVE,5,trive,verb,1573,shortening,"transitive. = contrive, v.¹",http://www.oed.com/dictionary/trive_v
ACHAGE,6,achage,noun,1875,derivative,The state of having an ache.,http://www.oed.com/dictionary/achage_n
AMEBLY,6,amebly,noun,a1643,variant,Perhaps: an amiable or friendly person.,http://www.oed.com/dictionary/amebly_n
AMOUND,6,amound,verb,1642,variant,intransitive. To amount to something.,http://www.oed.com/dictionary/amound_v
ANNIST,6,Annist,noun,1730,proper name,In the 18th century: a supporter of Queen Anne.,http://www.oed.com/dictionary/annist_n
BEATOR,6,beator,noun,1719,derivative,A person who hits or beats another. Contrasted…,http://www.oed.com/dictionary/beator_n
BUMBIS,6,bumbis,noun,a1640,arbitrary,A piece of meaningless pig Latin used as patter…,http://www.oed.com/dictionary/bumbis_n
CRAZEN,6,crazen,adjective,1596,derivative,"Split or cracked; broken, damaged. Cf. crazed…",http://www.oed.com/dictionary/crazen_adj
CURKLE,6,curkle,verb,1693,imitative,To cry as a quail.,http://www.oed.com/dictionary/curkle_v
CUTAIR,6,cut-air,noun,1665,compound,"The largest vein of a fly's wing, which forms the…",http://www.oed.com/dictionary/cut-air_n
DEALTH,6,dealth,noun,1637,derivative,Portion dealt.,http://www.oed.com/dictionary/dealth_n
DEBASH,6,debash,verb,1610,derivative,To abash.,http://www.oed.com/dictionary/debash_v
DEBIND,6,debind,verb,1814,derivative,To bind down. (Put by Scott into the mouth of…,http://www.oed.com/dictionary/debind_v
DEFEUD,6,defeud,noun,1648,derivative,= Feud.,http://www.oed.com/dictionary/defeud_n
DETOMB,6,detomb,verb,1607,derivative,transitive. To deliver from the tomb.,http://www.oed.com/dictionary/detomb_v
DINGEE,6,dingee,noun,1835,derivative,A member of the crew of a dinghy.,http://www.oed.com/dictionary/dingee_n
DUABLE,6,duable,adjective,1647,borrowing,Divisible into two.,http://www.oed.com/dictionary/duable_adj
EARLED,6,earled,adjective,1606,derivative,Raised to the rank of earl.,http://www.oed.com/dictionary/earled_adj
FATARY,6,fatary,noun,1652,derivative,"A person who foretells fates; a fortune-teller, a…",http://www.oed.com/dictionary/fatary_n
FRANKY,6,franky,adjective,1582,derivative,Looking as if frank-fed; ‘stalled’.,http://www.oed.com/dictionary/franky_adj
INCUBE,6,incube,verb,1642,derivative,transitive. To infix like a cube.,http://www.oed.com/dictionary/incube_v
INDOCK,6,indock,verb,1611,derivative,"To put in dock, to dock: in quot. 1611 figurative…",http://www.oed.com/dictionary/indock_v
INPATH,6,in-path,noun,1582,derivative,"A way that is no way, an impassable way.",http://www.oed.com/dictionary/in-path_n
JOBCRY,6,Job-cry,noun,1891,compound,A vehement lamentation like that of Job.,http://www.oed.com/dictionary/job-cry_n
JOBISM,6,Jobism,noun,1855,derivative,A vehement lamentation like that of Job.,http://www.oed.com/dictionary/jobism_n
JOBLER,6,jobler,noun,1662,derivative,A person who does odd jobs or small pieces of…,http://www.oed.com/dictionary/jobler_n
LUDENT,6,ludent,noun,1573,borrowing,A player.,http://www.oed.com/dictionary/ludent_n
LYNCHY,6,Lynchy,adverb,1840,proper name,In a manner suggestive of ‘Judge Lynch’ (see…,http://www.oed.com/dictionary/lynchy_adv
MANNET,6,mannet,noun,1631,derivative,A little man.,http://www.oed.com/dictionary/mannet_n
MOMIZE,6,momize,verb,1654,derivative,"intransitive. To find fault; to criticize, censure.",http://www.oed.com/dictionary/momize_v
MUTISH,6,mutish,adjective,1865,derivative,Reminiscent of a funeral mute. Only in…,http://www.oed.com/dictionary/mutish_adj
NAMEFY,6,namefy,verb,1589,derivative,transitive. To mention by name.,http://www.oed.com/dictionary/namefy_v
NANITY,6,nanity,noun,1892,borrowing,The condition of being abnormally deficient or…,http://www.oed.com/dictionary/nanity_n
NEOGAM,6,neogam,noun,1862,borrowing,A newly-wed person.,http://www.oed.com/dictionary/neogam_n
OUTJET,6,out-jet,verb,1822,derivative,transitive. To be more intensely black than.,http://www.oed.com/dictionary/out-jet_v
PADRAM,6,pad-ram,noun,1715,compound,A good-tempered ram.,http://www.oed.com/dictionary/pad-ram_n
PIKESS,6,pikess,noun,1854,derivative,"A female pike (pike, n.³).",http://www.oed.com/dictionary/pikess_n
PIKISH,6,pikish,adjective,1799,derivative,"Perhaps: armed, martial.",http://www.oed.com/dictionary/pikish_adj
POLIAD,6,poliad,noun,1818,borrowing,A nymph who inhabits a city.,http://www.oed.com/dictionary/poliad_n
PROSET,6,proset,noun,1625,derivative,A little or insignificant piece of prose.,http://www.oed.com/dictionary/proset_n
PUNKIN,6,punkin,noun,1866,derivative,"= punlet, n.",http://www.oed.com/dictionary/punkin_n
PUNLET,6,punlet,noun,a1834,derivative,A little pun.,http://www.oed.com/dictionary/punlet_n
PURDOG,6,pur-dog,noun,a1637,compound,(Perhaps) the dog often depicted alongside the…,http://www.oed.com/dictionary/pur-dog_n
SOFANE,6,sofane,adjective,1860,derivative,Of or relating to a sofa.,http://www.oed.com/dictionary/sofane_adj
SUITLY,6,suitly,adverb,1913,derivative,"Fittingly, appropriately; suitably.",http://www.oed.com/dictionary/suitly_adv
TANTIN,6,tan-tin,noun,1721,imitative,Imitation of the sound of a bell: in quot. adverbial.,http://www.oed.com/dictionary/tan-tin_n
TAPERY,6,tapery,noun,1657,derivative,Tape and the like.,http://www.oed.com/dictionary/tapery_n
TAWDER,6,tawder,verb,1716,backformation,transitive. To deck out in tawdry garments.,http://www.oed.com/dictionary/tawder_v
TWANGO,6,twango,interjection,1617,compound,"= twang, n.¹ 1.",http://www.oed.com/dictionary/twango_int
UNPASS,6,unpass,verb,1606,derivative,"transitive. To rescind (a pledge). Cf. pass, v. X.46a.",http://www.oed.com/dictionary/unpass_v
URNARY,6,urnary,noun,1750,derivative,The designing or making of urns.,http://www.oed.com/dictionary/urnary_n
WEENER,6,weener,noun,1604,derivative,"One who weens; easy weener, a credulous person.",http://www.oed.com/dictionary/weener_n
WIPARD,6,wipard,noun,1653,derivative,An article for wiping.,http://www.oed.com/dictionary/wipard_n
WISIFY,6,wisify,verb,1694,derivative,transitive. To make wise.,http://www.oed.com/dictionary/wisify_v
WITTEE,6,wittee,noun,1654,derivative,A wife whose adultery was forced upon her by her…,http://www.oed.com/dictionary/wittee_n
ANEABIL,7,aneabil,adjective,1609,derivative,"Of a person: single, unmarried.",http://www.oed.com/dictionary/aneabil_adj
AQUEITY,7,aqueity,noun,1612,borrowing,The essential principle of water; watery quality.,http://www.oed.com/dictionary/aqueity_n
BAWDEFY,7,bawdefy,verb,1562,derivative,transitive. Perhaps: to mark or cover (something)…,http://www.oed.com/dictionary/bawdefy_v
BEEFEAT,7,beef-eat,verb,1671,backformation,"(Cf. beefeater, n.)",http://www.oed.com/dictionary/beef-eat_v
BONZOID,7,Bonzoid,adjective,1928,derivative,Exhibiting characteristics of the comic strip…,http://www.oed.com/dictionary/bonzoid_adj
CHEAPTH,7,cheapth,noun,1606,derivative,Inexpensiveness or abundance of commodities…,http://www.oed.com/dictionary/cheapth_n
CLERIFY,7,clerify,verb,1861,derivative,transitive. To cause (a person) to take on the…,http://www.oed.com/dictionary/clerify_v
CLOUDLY,7,cloudly,adjective,1621,derivative,"Cloud-like, of the nature of a cloud.",http://www.oed.com/dictionary/cloudly_adj
COMPOPE,7,compope,noun,1659,derivative,"A fellow-pope, a colleague in the papal office.",http://www.oed.com/dictionary/compope_n
COOKICS,7,cookics,noun,1845,derivative,"Cookery, humorously regarded as a branch of science.",http://www.oed.com/dictionary/cookics_n
COWLISH,7,cowlish,adjective,1536,derivative,"Characteristic of monk; monkish. (Cf. cowl, n.¹ 1b.)",http://www.oed.com/dictionary/cowlish_adj
COWLIST,7,cowlist,noun,1637,derivative,One who wears a cowl; a monk.,http://www.oed.com/dictionary/cowlist_n
DASHISM,7,dashism,noun,1788,derivative,The characteristic of being daringly bold. Cf…,http://www.oed.com/dictionary/dashism_n
DEAMPLE,7,de-ample,verb,1657,derivative,"To deprive of amplitude, belittle.",http://www.oed.com/dictionary/de-ample_v
DEARING,7,dearing,noun,1601,derivative,Darling.,http://www.oed.com/dictionary/dearing_n
DECROTT,7,decrott,verb,1653,borrowing,"transitive. To clean from dirt, remove dirt from.",http://www.oed.com/dictionary/decrott_v
DENTITY,7,dentity,noun,1638,borrowing,The age of teething.,http://www.oed.com/dictionary/dentity_n
DICKENY,7,Dickeny,adjective,1886,proper name,Influenced by the writings of Charles Dickens.,http://www.oed.com/dictionary/dickeny_adj
DISKNOW,7,disknow,verb,1606,derivative,transitive. To fail to know or acknowledge.,http://www.oed.com/dictionary/disknow_v
