lemma,crossword_form,length,pos,date,first_year,band,formation,definition,evidence,url
altogether,ALTOGETHER,10,"adjective, noun, adverb",Old English-,1000,6,compound,"In all respects, in every particular; entirely…",printed date range,http://www.oed.com/dictionary/altogether_adj
bearer,BEARER,6,noun,Old English-,1000,5,derivative,"A person who, or animal which, carries, brings…",printed date range,http://www.oed.com/dictionary/bearer_n
bed,BED,3,verb,Old English-,1000,5,inherited,transitive. To provide (a person) with a place to…,printed date range,http://www.oed.com/dictionary/bed_v
break,BREAK,5,verb,Old English-,1000,7,inherited,transitive. To separate or sever (an object) into…,printed date range,http://www.oed.com/dictionary/break_v
breath,BREATH,6,noun,Old English-,1000,6,inherited,The air inhaled into and exhaled from the lungs…,printed date range,http://www.oed.com/dictionary/breath_n
broadway,BROADWAY,8,"noun, adjective",Old English-,1000,3,compound,"A wide, open road or highway, as opposed to a…",printed date range,http://www.oed.com/dictionary/broadway_n1
by,BY,2,"preposition, adverb, conjunction, interjection",Old English-,1000,8,inherited,Indicating the agent after a… With nouns denoting…,printed date range,http://www.oed.com/dictionary/by_prep
do,DO,2,verb,Old English-,1000,8,inherited,transitive. As periphrastic… In interrogative…,printed date range,http://www.oed.com/dictionary/do_v
dog,DOG,3,noun,Old English-,1000,6,unknown,"A domesticated carnivorous mammal, Canis…",printed date range,http://www.oed.com/dictionary/dog_n1
earthly,EARTHLY,7,"adjective, noun",Old English-,1000,5,inherited,"Of or relating to the earth, terrestrial…",printed date range,http://www.oed.com/dictionary/earthly_adj
edge,EDGE,4,noun,Old English-,1000,6,inherited,The line which forms the boundary of any object…,printed date range,http://www.oed.com/dictionary/edge_n
float,FLOAT,5,verb,Old English-,1000,6,inherited,To rest on the surface of any liquid; to be…,printed date range,http://www.oed.com/dictionary/float_v
foam,FOAM,4,verb,Old English-,1000,5,inherited,"Of water or other liquid: To froth, gather foam…",printed date range,http://www.oed.com/dictionary/foam_v
font,FONT,4,noun,Old English-,1000,5,borrowing,Christian Church. A receptacle in a church for…,printed date range,http://www.oed.com/dictionary/font_n1
fork,FORK,4,noun,Old English-,1000,5,borrowing,"An instrument with two, three, or four prongs…",printed date range,http://www.oed.com/dictionary/fork_n
forthward,FORTHWARD,9,"adverb, adjective",Old English-,1000,1,derivative,"Of motion: towards a place in front, onward…",printed date range,http://www.oed.com/dictionary/forthward_adv
fosse,FOSSE,5,noun,Old English-,1000,4,borrowing,"Usually with capital initial. = Fosse Way, n. In…",printed date range,http://www.oed.com/dictionary/fosse_n1
gather,GATHER,6,verb,Old English-,1000,6,inherited,"To bring (persons, or occasionally animals)…",printed date range,http://www.oed.com/dictionary/gather_v
glow,GLOW,4,verb,Old English-,1000,5,inherited,To burn with bodily heat; usually with the…,printed date range,http://www.oed.com/dictionary/glow_v1
grave,GRAVE,5,verb,Old English-,1000,4,inherited,"To engrave (an inscription, figures, etc.) upon a…",printed date range,http://www.oed.com/dictionary/grave_v1
grin,GRIN,4,verb,Old English-,1000,6,inherited,intransitive. Of persons or… By way of a forced…,printed date range,http://www.oed.com/dictionary/grin_v2
