LEMMA,PART OF SPEECH,DATE OF USE,FREQUENCY BAND NUMBER,DEFINITION,TYPE OF FORMATION,LANGUAGE OF ORIGIN,USAGE,OBSOLESCENCE,REGIONAL ENGLISH,SUBJECT,DOI,OED URL
cloudly,adjective,1621,0,"Cloud-like, of the nature of a cloud.",derivative,,,Not in use,,,https://doi.org/10.1093/OED/3223517108,http://www.oed.com/dictionary/cloudly_adj
competencer,noun,1621,0,The possessor of a competency (of means).,derivative,,,Not in use,,,https://doi.org/10.1093/OED/4870990718,http://www.oed.com/dictionary/competencer_n
gregation,noun,1621,0,"A crowd, multitude (see quot. 1621).",borrowing,,,Not in use,,,https://doi.org/10.1093/OED/1423854753,http://www.oed.com/dictionary/gregation_n
his,verb,1621,0,"transitive. To use ‘his’ of, to qualify with ‘his’.",conversion,,,Not in use,,,https://doi.org/10.1093/OED/7753869341,http://www.oed.com/dictionary/his_v
Leviticality,noun,1621-,0,Levitical character or obligation.,derivative,,,In current use,,religion and belief/religion/Judaism,https://doi.org/10.1093/OED/7218779023,http://www.oed.com/dictionary/leviticality_n
mannity,noun,1621,0,Human beings collectively.,derivative,,,Not in use,,,https://doi.org/10.1093/OED/7827276298,http://www.oed.com/dictionary/mannity_n
nonsicut,noun,1621,0,"A person regarded as perfect or excellent, a…",borrowing,,,Not in use,,,https://doi.org/10.1093/OED/2790178750,http://www.oed.com/dictionary/nonsicut_n
pingui-substance,noun,1621,0,Fatty substance.,borrowing,,,Not in use,,,https://doi.org/10.1093/OED/1129731017,http://www.oed.com/dictionary/pingui-substance_n
plant-animal,noun,1621-,3,An organism which has characteristics of both an…,compound,,,In current use,,"sciences/life sciences/animals/invertebrates, sciences/life sciences/plants",https://doi.org/10.1093/OED/3597958690,http://www.oed.com/dictionary/plant-animal_n
whore-sty,noun,1621,0,A brothel.,compound,,,Not in use,,,https://doi.org/10.1093/OED/6043989516,http://www.oed.com/dictionary/whore-sty_n
disbrother,verb,1622,0,transitive. To undo the brotherhood of; to make…,derivative,,,Not in use,,,https://doi.org/10.1093/OED/2962876519,http://www.oed.com/dictionary/disbrother_v
dissoul,verb,1622,0,transitive. To deprive of a soul.,derivative,,,Not in use,,,https://doi.org/10.1093/OED/2540030310,http://www.oed.com/dictionary/dissoul_v
immonastered,adjective,1622,0,Shut up in a monastery.,derivative,,,Not in use,,,https://doi.org/10.1093/OED/1618603302,http://www.oed.com/dictionary/immonastered_adj
insulet,noun,1622-,0,An islet.,borrowing,,,In current use,,,https://doi.org/10.1093/OED/6957669541,http://www.oed.com/dictionary/insulet_n
pot-harness,noun,1622,0,Alcoholic drink as a source of courage.,compound,,,Not in use,,,https://doi.org/10.1093/OED/7701588947,http://www.oed.com/dictionary/pot-harness_n
shanker,noun,1622-,2,"One who makes, forms or finishes the shanks of…",derivative,,,In current use,Britain and Ireland/British English/Scottish English,,https://doi.org/10.1093/OED/4323876500,http://www.oed.com/dictionary/shanker_n
torturing-stock,noun,1622-,0,A person upon whom torture is inflicted.,compound,,,In current use,,,https://doi.org/10.1093/OED/9712355766,http://www.oed.com/dictionary/torturing-stock_n
transformity,noun,1622,0,The state or condition of being transformed.,derivative,,,Not in use,,,https://doi.org/10.1093/OED/9608415124,http://www.oed.com/dictionary/transformity_n
correpugnation,noun,1623,0,A symptom accessory to the main opposing symptom.,derivative,,,Not in use,,sciences/medicine,https://doi.org/10.1093/OED/1688148318,http://www.oed.com/dictionary/correpugnation_n
day-liver,noun,1623,0,A person who experiences life day by day.,compound,,,Not in use,,,https://doi.org/10.1093/OED/6026401917,http://www.oed.com/dictionary/day-liver_n
state-statue,noun,1623-1799,0,A mere image of a statesman.,compound,,,Not in use,,,https://doi.org/10.1093/OED/3152564531,http://www.oed.com/dictionary/state-statue_n
compotant,noun,a1624-,0,"= compotator, n.",borrowing,,,In current use,,,https://doi.org/10.1093/OED/3239311510,http://www.oed.com/dictionary/compotant_n
despect,noun,1624-1834,0,A looking down upon; contempt.,borrowing,,,Not in use,,,https://doi.org/10.1093/OED/1165951472,http://www.oed.com/dictionary/despect_n
gaggership,noun,1624-,0,A mock title of address.,derivative,,,In current use,,,https://doi.org/10.1093/OED/5545154788,http://www.oed.com/dictionary/gaggership_n
indistinction,noun,1624-,3,The fact of not distinguishing or making…,derivative,,,In current use,,,https://doi.org/10.1093/OED/1128465652,http://www.oed.com/dictionary/indistinction_n
out-nose,verb,1624,0,(transitive) to put out the nose of.,derivative,,,Not in use,,,https://doi.org/10.1093/OED/8510225524,http://www.oed.com/dictionary/out-nose_v
postify,verb,1624,0,transitive. To fix or nail to a post.,derivative,,,Not in use,,,https://doi.org/10.1093/OED/5989158547,http://www.oed.com/dictionary/postify_v
seven mountain-seated,adjective,1624,0,(As an epithet of the city of Rome) seated on…,compound,,,Not in use,,,https://doi.org/10.1093/OED/9260262210,http://www.oed.com/dictionary/seven-mountain-seated_adj
wine,verb,?1624-,4,transitive. colloquial. To entertain (a person)…,conversion,,colloquial and slang,In current use,,,https://doi.org/10.1093/OED/9747059135,http://www.oed.com/dictionary/wine_v1
hobby headed,adjective,a1625,0,"Having thick, shaggy hair.",compound,,,Not in use,,,https://doi.org/10.1093/OED/5574230274,http://www.oed.com/dictionary/hobby-headed_adj
jewel-proof,adjective,a1625,0,Able to resist the attraction of jewels.,compound,,,Not in use,,,https://doi.org/10.1093/OED/5928588906,http://www.oed.com/dictionary/jewel-proof_adj
port,verb,a1625-,3,transitive. To bring (a ship or boat) to a port…,conversion,,,In current use,,transport/nautical,https://doi.org/10.1093/OED/8038461730,http://www.oed.com/dictionary/port_v4
proof-favour,noun,a1625,0,Favour or goodwill of proven strength.,compound,,,Not in use,,,https://doi.org/10.1093/OED/9204916901,http://www.oed.com/dictionary/proof-favour_n
waistcoateer,noun,a1625-,1,A person wearing a waistcoat of a specified fashion.,derivative,,historical,In current use,,,https://doi.org/10.1093/OED/1494164547,http://www.oed.com/dictionary/waistcoateer_n
anticlimate,noun,1625,0,In early modern geography: each of the bands on…,derivative,,,Not in use,,,https://doi.org/10.1093/OED/1169945275,http://www.oed.com/dictionary/anticlimate_n
counter-plight,noun,1625,0,A fold in the opposite direction.,derivative,,,Not in use,,,https://doi.org/10.1093/OED/5306310975,http://www.oed.com/dictionary/counter-plight_n
counter-walker,noun,1625,0,One who walks on the opposite side; in plural =…,derivative,,,Not in use,,,https://doi.org/10.1093/OED/3838834355,http://www.oed.com/dictionary/counter-walker_n
overpower,noun,1625-,2,A superior or supreme power.,derivative,,,In current use,,,https://doi.org/10.1093/OED/7465483769,http://www.oed.com/dictionary/overpower_n
pronounist,noun,1625,0,A person who favours the use of pronouns.,derivative,,,Not in use,,,https://doi.org/10.1093/OED/1663853920,http://www.oed.com/dictionary/pronounist_n
proset,noun,1625,0,A little or insignificant piece of prose.,derivative,,,Not in use,,,https://doi.org/10.1093/OED/6402784057,http://www.oed.com/dictionary/proset_n
thwarterous,adjective,1625,0,"Tortuous, twisted, gnarled.",derivative,,,Not in use,,sciences/life sciences/plants,https://doi.org/10.1093/OED/6355542328,http://www.oed.com/dictionary/thwarterous_adj
divelination,noun,a1626-,0,Divination by aid of the devil.,blend,,,In current use,,,https://doi.org/10.1093/OED/5331280183,http://www.oed.com/dictionary/divelination_n
feather-glory,noun,a1626,0,Light and transitory glory.,compound,,,Not in use,,,https://doi.org/10.1093/OED/2238080771,http://www.oed.com/dictionary/feather-glory_n
hypostle,noun,a1626,0,One who draws back; an apostate.,borrowing,,,Not in use,,religion and belief/religion,https://doi.org/10.1093/OED/1068451711,http://www.oed.com/dictionary/hypostle_n
minimated,adjective,a1626,0,Reduced to the smallest size possible.,borrowing,,,Not in use,,,https://doi.org/10.1093/OED/4486108064,http://www.oed.com/dictionary/minimated_adj
miniminess,noun,a1626,0,The condition of being very small or insignificant.,borrowing,,,Not in use,,,https://doi.org/10.1093/OED/1065633469,http://www.oed.com/dictionary/miniminess_n
thrononical,adjective,a1626,0,Of or relating to a ruler occupying a throne.,derivative,,,Not in use,,,https://doi.org/10.1093/OED/3837929810,http://www.oed.com/dictionary/thrononical_adj
bush-bill,noun,1626,0,Probably: a tool for cutting back vegetation; a…,compound,,,Not in use,,agriculture and horticulture/forestry,https://doi.org/10.1093/OED/8391407615,http://www.oed.com/dictionary/bush-bill_n
diaprize,verb,1626,0,"= diaper, v.",borrowing,,,Not in use,,arts/decorative arts,https://doi.org/10.1093/OED/9151161726,http://www.oed.com/dictionary/diaprize_v
mystery-man,noun,1626-71,0,Perhaps: a collector of trade inventions…,compound,,,Not in use,,,https://doi.org/10.1093/OED/7403988729,http://www.oed.com/dictionary/mystery-man_n1
night-eater,noun,1626,0,A flea.,compound,,,Not in use,,sciences/life sciences/animals/invertebrates/insects,https://doi.org/10.1093/OED/1138309201,http://www.oed.com/dictionary/night-eater_n
paste-god,noun,1626,0,An idol made of paste.,compound,,,Not in use,,,https://doi.org/10.1093/OED/1765847069,http://www.oed.com/dictionary/paste-god_n
vanquash,verb,c1626-,0,transitive. To smash.,compound,,,In current use,,,https://doi.org/10.1093/OED/8465275894,http://www.oed.com/dictionary/vanquash_v
freshwoman,noun,a1627-,2,A female student in her first year at a…,compound,,,In current use,North American English,education/university,https://doi.org/10.1093/OED/5005017668,http://www.oed.com/dictionary/freshwoman_n
iulan,adjective,a1627,0,Of the first growth of the beard.,borrowing,,,Not in use,,,https://doi.org/10.1093/OED/1302043707,http://www.oed.com/dictionary/iulan_adj
love paper,noun,a1627,0,A love letter.,compound,,,Not in use,,,https://doi.org/10.1093/OED/8735876124,http://www.oed.com/dictionary/love-paper_n
mattress rubber,noun,a1627,0,(Perhaps) a rough mattress cover.,compound,,,Not in use,,,https://doi.org/10.1093/OED/2683740823,http://www.oed.com/dictionary/mattress-rubber_n
pumper,noun,a1627,0,"A person who puts pumps on someone (see pump, n.²).",derivative,,,Not in use,,,https://doi.org/10.1093/OED/1072877539,http://www.oed.com/dictionary/pumper_n1
super-Jesuited,adjective,a1628,0,Ruled over by Jesuits.,derivative,,,Not in use,,religion and belief/religion/Christianity/Roman Catholic Church,https://doi.org/10.1093/OED/7334609787,http://www.oed.com/dictionary/super-jesuited_adj
gunnered,adjective,1628,0,Trained in gunnery.,derivative,,,Not in use,,military/weaponry/gunnery and firearms,https://doi.org/10.1093/OED/8280578987,http://www.oed.com/dictionary/gunnered_adj
midnight,verb,1628-1861,0,transitive. To afflict or overwhelm with darkness.,conversion,,poetic and literary,Not in use,,,https://doi.org/10.1093/OED/2484666709,http://www.oed.com/dictionary/midnight_v
plagueship,noun,1628,0,With possessive adjective: a title of mock…,derivative,,humorous,Not in use,,,https://doi.org/10.1093/OED/1108594510,http://www.oed.com/dictionary/plagueship_n1
valiant,verb,1628,0,transitive. To make (something) valiant; to embolden.,conversion,,,Not in use,,,https://doi.org/10.1093/OED/3082529536,http://www.oed.com/dictionary/valiant_v
totangle,noun,1629,0,A figure that is ‘all angle’: applied to a circle…,borrowing,,,Not in use,,sciences/mathematics/geometry,https://doi.org/10.1093/OED/7728091303,http://www.oed.com/dictionary/totangle_n
totilater,noun,1629,0,"A figure that is ‘all side’, or consists of an…",borrowing,,,Not in use,,sciences/mathematics/geometry,https://doi.org/10.1093/OED/4638756003,http://www.oed.com/dictionary/totilater_n
disroyalty,noun,1630,0,Undoing of royal dignity.,derivative,,,Not in use,,,https://doi.org/10.1093/OED/5763552190,http://www.oed.com/dictionary/disroyalty_n
ganderous,adjective,1630-,0,Pertaining to a gander.,derivative,,,In current use,,,https://doi.org/10.1093/OED/3446475541,http://www.oed.com/dictionary/ganderous_adj
kneeify,verb,c1630,0,"To make a knee of: in quot. 1630, to attach (the…",derivative,,,Not in use,,crafts and trades/costume/shoes,https://doi.org/10.1093/OED/1039643235,http://www.oed.com/dictionary/kneeify_v
yoff,verb,c1630,0,intransitive. To make a sound resembling the…,imitative,,,Not in use,,,https://doi.org/10.1093/OED/7167295628,http://www.oed.com/dictionary/yoff_v
derelict,verb,a1631-,3,figurative. To fail to keep or observe; to fall…,borrowing,,,In current use,,,https://doi.org/10.1093/OED/1049193317,http://www.oed.com/dictionary/derelict_v
expeccation,noun,a1631,0,(See quot. 1631.),borrowing,,,Not in use,,religion and belief/religion,https://doi.org/10.1093/OED/1077968554,http://www.oed.com/dictionary/expeccation_n
flail-finned,adjective,a1631,0,Having a long fin which resembles a flail. Cf…,compound,,,Not in use,,,https://doi.org/10.1093/OED/1069220400,http://www.oed.com/dictionary/flail-finned_adj
metatheology,noun,a1631-,2,The philosophical study of the nature and methods…,derivative,,,In current use,,religion and belief/religion,https://doi.org/10.1093/OED/6598222972,http://www.oed.com/dictionary/metatheology_n
coach-leaves,noun,1631,0,Folding blinds that cover the window of a coach.,compound,,,Not in use,,crafts and trades/carriage-building,https://doi.org/10.1093/OED/1014717426,http://www.oed.com/dictionary/coach-leaves_n
conformalist,noun,1631,0,"= conformist, n.",derivative,,,Not in use,,religion and belief/religion,https://doi.org/10.1093/OED/9534772773,http://www.oed.com/dictionary/conformalist_n
easeress,noun,1631,0,A woman who provides relief from pain or distress.,derivative,,,Not in use,,,https://doi.org/10.1093/OED/8238194490,http://www.oed.com/dictionary/easeress_n
mannet,noun,1631,0,A little man.,derivative,,,Not in use,,,https://doi.org/10.1093/OED/1103719730,http://www.oed.com/dictionary/mannet_n
mint-phrase,noun,1631,0,A newly coined phrase.,compound,,,Not in use,,language/linguistics,https://doi.org/10.1093/OED/1084386669,http://www.oed.com/dictionary/mint-phrase_n
naometry,noun,1631,0,Prophecy founded on the numerological analysis of…,borrowing,,,Not in use,,religion and belief/religion,https://doi.org/10.1093/OED/3250419011,http://www.oed.com/dictionary/naometry_n
non-parallel,noun,1631,0,"= nonpareil, n.",variant,,,Not in use,,,https://doi.org/10.1093/OED/5130808360,http://www.oed.com/dictionary/non-parallel_n
orc,verb,1631,0,transitive. To make an orc or monster of.,conversion,,,Not in use,,,https://doi.org/10.1093/OED/1132471526,http://www.oed.com/dictionary/orc_v
pennisome,adjective,1631,0,"Lucrative, profitable.",derivative,,,Not in use,,economics and commerce/finance,https://doi.org/10.1093/OED/5489497706,http://www.oed.com/dictionary/pennisome_adj
vagabundulo,noun,1631,0,? A roguish trick.,derivative,,,Not in use,,,https://doi.org/10.1093/OED/4678907403,http://www.oed.com/dictionary/vagabundulo_n
distectured,adjective,1632,0,Deprived of the roof; unroofed.,derivative,,,Not in use,,,https://doi.org/10.1093/OED/7371448637,http://www.oed.com/dictionary/distectured_adj
moon time,noun,1632-,0,The time at which menstruation occurs; a…,compound,,poetic and literary,In current use,,sciences/medicine/physiology,https://doi.org/10.1093/OED/2894822375,http://www.oed.com/dictionary/moon-time_n
muttonship,noun,1632,0,derogatory. Obsolete. A mock title of respect for…,derivative,,derogatory,Not in use,,,https://doi.org/10.1093/OED/2982759789,http://www.oed.com/dictionary/muttonship_n
tremendous,adjective,1632-,6,"Hyperbolically, or as a mere intensive: Such as…",borrowing,,colloquial and slang,In current use,,,https://doi.org/10.1093/OED/2674246363,http://www.oed.com/dictionary/tremendous_adj
jail-deliver,verb,?1632,0,"transitive. To rescue, save, or set (a prisoner)…",compound,,,Not in use,,,https://doi.org/10.1093/OED/9682839661,http://www.oed.com/dictionary/jail-deliver_v
altilatitude,noun,1633,0,Altitude and latitude combined (in quot. as a…,compound,,,Not in use,,,https://doi.org/10.1093/OED/3951974473,http://www.oed.com/dictionary/altilatitude_n
dumple,verb,1633-,2,To bend or compress into a dumpy shape.,backformation,,,In current use,,,https://doi.org/10.1093/OED/1907135306,http://www.oed.com/dictionary/dumple_v
ephorism,noun,1633,0,A tribunal resembling that of the ephors.,derivative,,,Not in use,,law,https://doi.org/10.1093/OED/2346724932,http://www.oed.com/dictionary/ephorism_n
grammates,noun,1633,0,With plural agreement. Rudiments; first principles.,borrowing,,,Not in use,,education,https://doi.org/10.1093/OED/9041067351,http://www.oed.com/dictionary/grammates_n
inloving,noun,1633,0,"Loving, holding in affection.",derivative,,,Not in use,,,https://doi.org/10.1093/OED/4829141113,http://www.oed.com/dictionary/inloving_n
mace-proof,adjective,1633,0,Safe from arrest.,compound,,,Not in use,,,https://doi.org/10.1093/OED/5621437433,http://www.oed.com/dictionary/mace-proof_adj
term-driver,noun,1633,0,(Perhaps) a person who attends court during law…,compound,,,Not in use,,law,https://doi.org/10.1093/OED/9038807970,http://www.oed.com/dictionary/term-driver_n
vandyking,noun,1633-,1,concrete. Vandyked material; work shaped in…,derivative,,,In current use,,"arts/visual arts/painting and drawing/painting, crafts and trades/textiles",https://doi.org/10.1093/OED/6883553809,http://www.oed.com/dictionary/vandyking_n
almsbasket man,noun,a1634,0,"= almsman, n. 1.",compound,,,Not in use,,,https://doi.org/10.1093/OED/1076709820,http://www.oed.com/dictionary/almsbasket-man_n
tympaned,adjective,a1634,0,"Affected as with a ‘tympan’ (tympan, n. 2)…",derivative,,,Not in use,,,https://doi.org/10.1093/OED/1271377502,http://www.oed.com/dictionary/tympaned_adj
loggership,noun,1634,0,Used as a derisive title for a sluggard.,derivative,,,Not in use,,,https://doi.org/10.1093/OED/7476661043,http://www.oed.com/dictionary/loggership_n
skunk,noun,1634-,4,"A weasel-like mammal of North America, Mephitis…",borrowing,,colloquial and slang,In current use,,,https://doi.org/10.1093/OED/4896001668,http://www.oed.com/dictionary/skunk_n
cawation,noun,a1635,0,"The cawing of a crow, rook, raven, or other bird…",derivative,,,Not in use,,,https://doi.org/10.1093/OED/6916254852,http://www.oed.com/dictionary/cawation_n
moon-drake,noun,a1635,0,A fiery moon.,,,,Not in use,,,https://doi.org/10.1093/OED/6721104842,http://www.oed.com/dictionary/moon-drake_n
tollbooth,verb,a1635,0,To imprison in a tollbooth.,conversion,,,Not in use,,,https://doi.org/10.1093/OED/9582983003,http://www.oed.com/dictionary/tollbooth_v
dulian,adjective,1635-,0,Pertaining to dulia.,derivative,,,In current use,,religion and belief/religion,https://doi.org/10.1093/OED/3277207526,http://www.oed.com/dictionary/dulian_adj
essence,verb,1635-,3,transitive. To compress the essence of (a book) into.,conversion,,,In current use,,crafts and trades/costume/cosmetics/perfumery,https://doi.org/10.1093/OED/9285596741,http://www.oed.com/dictionary/essence_v
successanean,adjective,1635,0,Characterized by or involving succession; successive.,borrowing,,,Not in use,,,https://doi.org/10.1093/OED/5313033280,http://www.oed.com/dictionary/successanean_adj
hobby-horse,verb,1636-,0,intransitive. To move in a way which is…,conversion,,,In current use,,transport/nautical,https://doi.org/10.1093/OED/4988196386,http://www.oed.com/dictionary/hobby-horse_v
shameface,noun,1636-,1,A bashful aspect.,compound,,,In current use,,,https://doi.org/10.1093/OED/8898965198,http://www.oed.com/dictionary/shameface_n
flameship,noun,a1637-,0,The personality or dignity of (the god of) flame.,derivative,,,In current use,,religion and belief/mythology/classical mythology,https://doi.org/10.1093/OED/8092643973,http://www.oed.com/dictionary/flameship_n
point,adjective,a1637,0,Complete; ready.,conversion,,,Not in use,,,https://doi.org/10.1093/OED/5449653461,http://www.oed.com/dictionary/point_adj
