LEMMA,PART OF SPEECH,DATE OF USE,FREQUENCY BAND NUMBER,DEFINITION,TYPE OF FORMATION,LANGUAGE OF ORIGIN,USAGE,OBSOLESCENCE,REGIONAL ENGLISH,SUBJECT,DOI,OED URL
arithmocratic,adjective,1862-,0,Designating a form of government in which the…,derivative,,,In current use,,,https://doi.org/10.1093/OED/2268723325,http://www.oed.com/dictionary/arithmocratic_adj
clock-beam,noun,1862,0,A pendulum.,compound,,,Not in use,,crafts and trades/clocks and watches,https://doi.org/10.1093/OED/7026637031,http://www.oed.com/dictionary/clock-beam_n
coinonomic,adjective,1862-,0,Of combined management or enterprise.,borrowing,,,In current use,,,https://doi.org/10.1093/OED/5624574285,http://www.oed.com/dictionary/coinonomic_adj
crammist,noun,1862-,0,A person who studies a subject intensively over a…,derivative,,colloquial and slang,In current use,,,https://doi.org/10.1093/OED/1536251275,http://www.oed.com/dictionary/crammist_n
demi-world,noun,1862-,2,"= demimonde, n. & adj.",derivative,,,In current use,,,https://doi.org/10.1093/OED/1446974429,http://www.oed.com/dictionary/demi-world_n
deparochialize,verb,1862-,1,transitive. To deprive of parochial character.,derivative,,,In current use,,,https://doi.org/10.1093/OED/1116487086,http://www.oed.com/dictionary/deparochialize_v
gallinivorous,adjective,1862-,0,Feeding on fowls or poultry.,borrowing,,,In current use,,,https://doi.org/10.1093/OED/3542889407,http://www.oed.com/dictionary/gallinivorous_adj
hymnicide,noun,1862-,0,"The ‘murdering’ of a hymn, i.e. by alterations.",borrowing,,,In current use,,,https://doi.org/10.1093/OED/1156417153,http://www.oed.com/dictionary/hymnicide_n
islandhood,noun,1862-,2,The condition of being an island; insularity.,derivative,,,In current use,,,https://doi.org/10.1093/OED/9640844901,http://www.oed.com/dictionary/islandhood_n
lithographic pen,noun,1862-,1,A pen used for drawing a design on stone or metal.,compound,,,In current use,,,https://doi.org/10.1093/OED/9109595300,http://www.oed.com/dictionary/lithographic-pen_n
lobsterdom,noun,1862-,1,The ‘realm’ of lobsters.,derivative,,,In current use,,,https://doi.org/10.1093/OED/9529947589,http://www.oed.com/dictionary/lobsterdom_n
misdateful,adjective,1862,0,Prone to misdating; full of misdatings.,derivative,,,Not in use,,,https://doi.org/10.1093/OED/2715664921,http://www.oed.com/dictionary/misdateful_adj
neogam,noun,1862,0,A newly-wed person.,borrowing,,,Not in use,,,https://doi.org/10.1093/OED/1049870805,http://www.oed.com/dictionary/neogam_n
silverness,noun,1862-,2,The essential quality of silver.,derivative,,,In current use,,,https://doi.org/10.1093/OED/5034967950,http://www.oed.com/dictionary/silverness_n
superweening,adjective,1862,0,"= overweening, adj.",derivative,,,Not in use,,,https://doi.org/10.1093/OED/1051554788,http://www.oed.com/dictionary/superweening_adj
tympaning,noun,1862-,0,"The playing of a tympan (tympan, n. 1b).",derivative,,,In current use,,arts/performing arts/music,https://doi.org/10.1093/OED/1176158093,http://www.oed.com/dictionary/tympaning_n
yawyawdom,noun,1862-,0,An affected expression.,derivative,,,In current use,,,https://doi.org/10.1093/OED/8682601701,http://www.oed.com/dictionary/yawyawdom_n
postponeless,adjective,c1862,0,That cannot be put off or averted.,derivative,,,Not in use,,,https://doi.org/10.1093/OED/5356913840,http://www.oed.com/dictionary/postponeless_adj
proof-proof,adjective,a1863-,1,(Of a person) impervious to proof.,compound,,,In current use,,,https://doi.org/10.1093/OED/1073605044,http://www.oed.com/dictionary/proof-proof_adj
beggaress,noun,1863-,0,A female beggar.,derivative,,,In current use,,,https://doi.org/10.1093/OED/6417058191,http://www.oed.com/dictionary/beggaress_n
caliver,verb,1863-,2,transitive. To shoot with a caliver.,conversion,,,In current use,,,https://doi.org/10.1093/OED/8027649372,http://www.oed.com/dictionary/caliver_v
camelist,noun,1863-,0,A partisan of the camel.,derivative,,,In current use,,,https://doi.org/10.1093/OED/9683326552,http://www.oed.com/dictionary/camelist_n
cindery,noun,1863-,2,"A repository of cinders, a cinder-heap.",derivative,,,In current use,,,https://doi.org/10.1093/OED/4883863674,http://www.oed.com/dictionary/cindery_n
coachfulness,noun,1863-,1,Apparently: the quality or condition of being a…,derivative,,,In current use,,,https://doi.org/10.1093/OED/1158814256,http://www.oed.com/dictionary/coachfulness_n
daily breadliness,noun,1863,0,A feeling of fellowship between people who earn…,derivative,,,Not in use,,,https://doi.org/10.1093/OED/3191155233,http://www.oed.com/dictionary/daily-breadliness_n
directo-executive,adjective,1863,0,Involving or characterized by a combination of…,compound,,,Not in use,,,https://doi.org/10.1093/OED/2456679548,http://www.oed.com/dictionary/directo-executive_adj
disquality,noun,1863-,2,Defect.,derivative,,,In current use,,,https://doi.org/10.1093/OED/4477384226,http://www.oed.com/dictionary/disquality_n
dwindlement,noun,1863-,0,"Dwindling, shrinking.",derivative,,,In current use,,,https://doi.org/10.1093/OED/2107916106,http://www.oed.com/dictionary/dwindlement_n
High-Church,verb,1863,0,transitive. To make High Church in doctrine and…,conversion,,,Not in use,,religion and belief/religion/Christianity/Anglican Church,https://doi.org/10.1093/OED/3822766671,http://www.oed.com/dictionary/high-church_v
mofussilize,verb,1863,0,"intransitive. To live in a remote, rural, or…",derivative,,,Not in use,,,https://doi.org/10.1093/OED/5877446013,http://www.oed.com/dictionary/mofussilize_v
momentarian,noun,1863,0,"= infinitesimalist, n. Cf. moment, n. I.3b.",derivative,,,Not in use,,sciences/mathematics,https://doi.org/10.1093/OED/9271047923,http://www.oed.com/dictionary/momentarian_n
nimblecomequick,adjective,1863,0,Of rapid growth.,compound,,,Not in use,,,https://doi.org/10.1093/OED/4929356068,http://www.oed.com/dictionary/nimblecomequick_adj
paradoxling,noun,1863,0,A little paradox.,derivative,,,Not in use,,philosophy/logic,https://doi.org/10.1093/OED/9690926400,http://www.oed.com/dictionary/paradoxling_n
pedalism,noun,1863,0,"Pedal agency, action of the feet.",derivative,,,Not in use,,,https://doi.org/10.1093/OED/9630917255,http://www.oed.com/dictionary/pedalism_n
pedicurism,noun,1863,0,The practice or art of giving pedicures.,derivative,,,Not in use,,sciences/medicine,https://doi.org/10.1093/OED/3146359742,http://www.oed.com/dictionary/pedicurism_n
polyphloisboiic,adjective,1863,0,"= polyphloisboian, adj.",borrowing,,humorous,Not in use,,,https://doi.org/10.1093/OED/1027927967,http://www.oed.com/dictionary/polyphloisboiic_adj
reinage,noun,1863,0,Reins collectively.,derivative,,,Not in use,,sport and leisure/horses and riding,https://doi.org/10.1093/OED/4426871709,http://www.oed.com/dictionary/reinage_n
