LEMMA,PART OF SPEECH,DATE OF USE,FREQUENCY BAND NUMBER,DEFINITION,TYPE OF FORMATION,LANGUAGE OF ORIGIN,USAGE,OBSOLESCENCE,REGIONAL ENGLISH,SUBJECT,DOI,OED URL
altogether,"adjective, noun, adverb",Old English-,6,"In all respects, in every particular; entirely…",compound,,,In current use,,,https://doi.org/10.1093/OED/1459233262,http://www.oed.com/dictionary/altogether_adj
bearer,noun,Old English-,5,"A person who, or animal which, carries, brings…",derivative,,,In current use,,,https://doi.org/10.1093/OED/1164679908,http://www.oed.com/dictionary/bearer_n
bed,verb,Old English-,5,transitive. To provide (a person) with a place to…,inherited,,,In current use,,,https://doi.org/10.1093/OED/2709210139,http://www.oed.com/dictionary/bed_v
break,verb,Old English-,7,transitive. To separate or sever (an object) into…,inherited,,,In current use,,,https://doi.org/10.1093/OED/1829683774,http://www.oed.com/dictionary/break_v
breath,noun,Old English-,6,The air inhaled into and exhaled from the lungs…,inherited,,,In current use,,sciences,https://doi.org/10.1093/OED/1187223840,http://www.oed.com/dictionary/breath_n
broadway,"noun, adjective",Old English-,3,"A wide, open road or highway, as opposed to a…",compound,,,In current use,,,https://doi.org/10.1093/OED/3337602579,http://www.oed.com/dictionary/broadway_n1
by,"preposition, adverb, conjunction, interjection",Old English-,8,Indicating the agent after a… With nouns denoting…,inherited,,,In current use,,,https://doi.org/10.1093/OED/9312828012,http://www.oed.com/dictionary/by_prep
do,verb,Old English-,8,transitive. As periphrastic… In interrogative…,inherited,,,In current use,,,https://doi.org/10.1093/OED/7260885124,http://www.oed.com/dictionary/do_v
dog,noun,Old English-,6,"A domesticated carnivorous mammal, Canis…",unknown,,,In current use,,,https://doi.org/10.1093/OED/6646229330,http://www.oed.com/dictionary/dog_n1
earthly,"adjective, noun",Old English-,5,"Of or relating to the earth, terrestrial…",inherited,,,In current use,,,https://doi.org/10.1093/OED/1045103384,http://www.oed.com/dictionary/earthly_adj
edge,noun,Old English-,6,The line which forms the boundary of any object…,inherited,,,In current use,,,https://doi.org/10.1093/OED/7951240582,http://www.oed.com/dictionary/edge_n
float,verb,Old English-,6,To rest on the surface of any liquid; to be…,inherited,,,In current use,,,https://doi.org/10.1093/OED/6686153284,http://www.oed.com/dictionary/float_v
